path,module,kind,lines,bytes,role_hint,upstream,downstream,reviewed_role,reviewed_interface,status,index_blob
.gitignore,(root),config,41,646,仓库约定、导航或Git管理配置,,,False,False,main-indexed,66933576bae95f97cf0a1127fbda9b066d273db9
.gitmodules,(root),config,3,96,仓库约定、导航或Git管理配置,,,False,False,main-indexed,57b62d9e1eb88f8861b6b4ade854ee1ce4334c1c
AGENTS.md,(root),documentation,30,2915,源码归属、时间基准、维护与验收约定,项目维护要求,开发与交接行为,True,True,main-indexed,19d3c8b7f33a2c97e09f10018c4632cd04ada796
README.md,(root),documentation,62,4623,仓库约定、导航或Git管理配置,,,False,False,main-indexed,3dad6ed686e40a0adc9e9d7474c31a6f01dde8ae
axi2flit/.gitignore,axi2flit,config,54,1264,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,037d8bad6ca1603296ff133bd67ef3b578692f80
axi2flit/Makefile,axi2flit,build,5,560,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,30761bf7957e6264a201894ca84ba546d1aa733e
axi2flit/README.md,axi2flit,documentation,82,5196,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,a267c1c25229fe9a01d0a6d3e698b22c3480a442
axi2flit/doc/AXI2FLIT技术路线与设计Spec.md,axi2flit,documentation,41,3556,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,d52d3aa07df925a0c320ff001761aef6e8d3845d
axi2flit/doc/SoC侧接口对接表.md,axi2flit,documentation,127,9852,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,47964ff01ef8fa9672f3306c2d127a87f4678ce4
axi2flit/doc/UCIe全链路仿真计划与使用.md,axi2flit,documentation,210,13784,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,849cd33c3d76bf1562f7e8054adb4327dc400a60
axi2flit/doc/全链路联合仿真接入指南.md,axi2flit,documentation,466,48635,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,e9b5528aba06c75da9e115e35cb21bb5419e2491
axi2flit/doc/存储侧接口对接表.md,axi2flit,documentation,183,18064,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,05577721cc44cfba839485a100302b50eb708288
axi2flit/systemc/.gitignore,axi2flit,config,5,110,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,560343c18f0ee2ccde914e4d870c4910433d45b2
axi2flit/systemc/Makefile,axi2flit,build,222,9161,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,30fda5688551e0e1fa997c191faaae12faa81dc5
axi2flit/systemc/doc/design.md,axi2flit,documentation,135,12271,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,683fd160fd5ea30a2ffcecce9d0a5b8a81cb9b24
axi2flit/systemc/doc/verification.md,axi2flit,documentation,157,12599,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,f6fab096bffc44809ec08cf3cbe7e813f4d1e923
axi2flit/systemc/doc/wire_contract.md,axi2flit,documentation,149,9040,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,f1c83647acf6b3271ae85d24df6b4cf7183fac34
axi2flit/systemc/include/aou_stream_decoder.h,axi2flit,source,73,2649,跨帧消息的 carry 与结构解析,连续逻辑帧,完整消息序列,True,True,main-indexed,4955509866c8ce66b232c69f58ef11f282428794
axi2flit/systemc/include/aou_types.h,axi2flit,source,489,21256,MsgType、消息长度/字段、FlitTransfer、granule 结构,协议定义,所有打包/解包模块,True,True,main-indexed,e0d1e51b2da20eaf007b80bf1bb86a1a40ddf14c
axi2flit/systemc/include/aou_wire.h,axi2flit,source,46,1936,逻辑 Flit 的 250B 序列化/反序列化,AoU Flit 对象,byte array / 还原对象,True,True,main-indexed,20c49b38930d1aae6c41ee7868cff095bcfa8614
axi2flit/systemc/include/axi2flit.h,axi2flit,source,112,4148,捕获五通道，维护请求/数据顺序、resource plane 和 credit,AXI 地址/写数据，入站回复 Flit,出站请求 Flit、AXI R/B,True,True,main-indexed,8740d3c75db92ebc14d9e62b5bb2c4dde254b477
axi2flit/systemc/include/axi_contract.h,axi2flit,source,19,758,支持的 burst/对齐/属性约束检查,AxChannel,合法访问或明确错误,True,True,main-indexed,2e83f734a462e8ecb48fe2f57ef566a5179273df
axi2flit/systemc/include/axi_if.h,axi2flit,source,192,8739,AXI 地址/数据/响应结构与 32B lane 定义,AXI pin/type adapter,AXI2Flit/AouTarget 共用属性,True,True,main-indexed,643545cd0afead0381267750f04286729521d008
axi2flit/systemc/include/credit_manager.h,axi2flit,source,313,12759,每 resource plane、消息种类的容量授权与归还,credit grant/return、发送需求,可发送条件、待返回 credit,True,True,main-indexed,ead11cdf17654ffe8019d638dbce13d249a43a1e
axi2flit/systemc/include/flit_packer.h,axi2flit,source,102,4418,消息按 5B granule 装帧；携带 credit，处理跨帧,待发送消息,逻辑 AoU Flit,True,True,main-indexed,e8109ccb8c08be1c27f5e1fd40d450c1439303d7
axi2flit/systemc/include/flit_unpacker.h,axi2flit,source,56,1926,收帧恢复消息与响应,入站逻辑 Flit,AXI 返回消息与 credit 更新,True,True,main-indexed,a6df6804d83ca9478e6965abcd477c3d08434357
axi2flit/systemc/include/link_config.h,axi2flit,source,30,1200,编译期链路宽度/速率/调制等公共选择,编译配置,打包与 UCIe 一致性检查,True,True,main-indexed,484257c266a05dcd5973e7a8e96dfe3ce314bd53
axi2flit/systemc/include/msg_builder.h,axi2flit,source,160,5750,请求/数据/响应到 AoU 消息字段编码,AXI channel / mem response,AoU message,True,True,main-indexed,745951f7e43724333571c3aafcaf696b69d05084
axi2flit/systemc/include/msg_decoder.h,axi2flit,source,106,4260,消息字段还原地址、数据、选通和状态,AoU message,AXI 或 FIFO 事务字段,True,True,main-indexed,8e9f5d77a9e3a7f89fbab7a69e9cd0ccf39ebb4e
axi2flit/systemc/include/rp_order_guard.h,axi2flit,source,58,1869,resource plane 中的顺序约束,AXI 请求与返回关联,有序接收/退休检查,True,True,main-indexed,a15a2a3f4c9a3fe17e70def272fc8471e5ac5d71
axi2flit/systemc/include/simple_mem_if.h,axi2flit,source,44,1776,整笔 burst 请求/响应契约，写 beat 数据/掩码、读 beat 状态,Target 事务,任一实现该 FIFO 契约的后端,True,True,main-indexed,33d2f8bc2d27de0799b9de4db4983f25a374c4ed
axi2flit/systemc/integration/README.md,axi2flit,documentation,36,1728,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,c85ab7f946126f3c7f785e0241f166af3d9591f9
axi2flit/systemc/integration/aou_target.h,axi2flit,source,263,12830,`AouTarget`；解析请求，按 RP 组装完整写 burst，提交 FIFO并编码返回,`link_rx`、backend `mem_rsp`,`mem_req`、反向 `link_tx`,True,True,main-indexed,fe1303bbeaf1a8ea0ad253f4bc608d4327565795
axi2flit/systemc/integration/simple_burst_memory.h,axi2flit,source,87,3959,AoU/simple 后端；用同一 FIFO 契约，提供简单服务与数据基线,,,True,False,main-indexed,987ebf80ab54f547812b19bd9e91a27119eaeecc
axi2flit/systemc/integration/ucie_aou_adapter.h,axi2flit,source,97,3828,`FlitTransfer` ready/valid↔FDI FIFO；250B 编解码；训练状态门控,AXI2Flit 与 link state,SoC 端 `soc_tx/soc_rx`,True,True,main-indexed,62e9360c6cc6b4c2edf3b535a6d1df78b3b11ecd
axi2flit/systemc/scripts/full_link_wave.py,axi2flit,source,153,7947,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,0dc7f3cc6fd599a6a8d96e8909023074ac490d07
axi2flit/systemc/src/axi2flit.cpp,axi2flit,source,319,12653,捕获五通道，维护请求/数据顺序、resource plane 和 credit,AXI 地址/写数据，入站回复 Flit,出站请求 Flit、AXI R/B,True,True,main-indexed,4d0d665700cf4606af7c48bc09ec88a42b978f0c
axi2flit/systemc/src/flit_packer.cpp,axi2flit,source,270,11344,消息按 5B granule 装帧；携带 credit，处理跨帧,待发送消息,逻辑 AoU Flit,True,True,main-indexed,09ba58d4a556800e9aa8376c7d6c5f8bff3cbd2d
axi2flit/systemc/src/flit_unpacker.cpp,axi2flit,source,159,6328,收帧恢复消息与响应,入站逻辑 Flit,AXI 返回消息与 credit 更新,True,True,main-indexed,e3882aeffe8654902ded9315a9b3072143c050a5
axi2flit/systemc/tb/tb_aou_wire.cpp,axi2flit,source,209,10369,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,79577f90529006ae1ed35188c57a948ee52b53b4
axi2flit/systemc/tb/tb_axi2flit.cpp,axi2flit,source,599,29955,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,6386cae97e541c7cbf908894f6ffe04334cfd426
axi2flit/systemc/tb/tb_axi2flit_perf.cpp,axi2flit,source,875,44910,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,a00d43d78ba512773b0bd15c0e19357a68198b77
axi2flit/systemc/tb/tb_common.h,axi2flit,source,587,26009,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,a1767ce0ac59832b792bee692520ce2bd16dd891
axi2flit/systemc/tb/tb_full_link.cpp,axi2flit,source,452,24809,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,5dc90384681749c3d0f0a2a23517a213290ed448
axi2flit/systemc/tb/tb_golden_vectors.cpp,axi2flit,source,376,16891,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,1eb1f2175346721cce3b38fed37b2228f98aa826
axi2flit/systemc/tb/tb_preintegration.cpp,axi2flit,source,246,12557,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,0e3c28046a5509d44fab32c19aef53c8e192e475
axi2flit/systemc/tb/tb_ucie_adapter.cpp,axi2flit,source,141,7575,AW/W路由、请求队列与B/R输出,,,False,False,main-indexed,eb89c4828b8651befbb7e459b5a3a295bbf999f9
coralnpu/.bazelrc,coralnpu,config,134,4614,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,28108979d01c383b57d5e3ac3ce5b973e400c4af
coralnpu/.bazelversion,coralnpu,config,1,6,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,acd405b1d62e3db6545a68a7084bd5fa5dade317
coralnpu/.clang-format,coralnpu,config,9,248,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,6c936acda72fdd3c3d2d782f8b98ba9f48429b93
coralnpu/.githooks/pre-push,coralnpu,text/data,4,142,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,e191a7de56db86a63189b75bca9402a8699561b0
coralnpu/.github/workflows/ci.yml,coralnpu,config,220,7467,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,96d485263a633c9ff08c8231064163af16b663d8
coralnpu/.github/workflows/main.yml,coralnpu,config,43,1367,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,b697c756630365b61f0b23befc2349d6d56bbcaf
coralnpu/.github/workflows/sim-verilator.yml,coralnpu,config,133,5299,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,4b5e4c9dc26ae7622b468e3a9628cfd3ef7c7e4f
coralnpu/.gitignore,coralnpu,config,30,536,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,800ef8861122c7487c2b3db2dc4cc0d3e697206d
coralnpu/.markdown_style.rb,coralnpu,config,14,452,CoralNPU上游构建、工具或说明资料,,,False,False,main-indexed,9387443782a5ff1acb78711a5d5e4d6c0351b9d3
