path,entry_type,symlink_target,direct_files,recursive_files,category,role,scope,role_source,explanation
.vscode,directory,,1,1,local-editor,VS Code 本地工作区设置；当前 settings.json 将 CMake 源目录指向 ramulator2,编辑器辅助，不驱动整机构建，不入 Git,.vscode,manual
axi2flit,directory,,3,43,main-source-tree,AXI 和 AoU 消息/Flit 的转换,互连协议源码,axi2flit,manual
axi2flit/doc,directory,,5,5,main-source-tree,技术规格、SoC侧/存储侧接口表及联合仿真设计资料,设计依据；历史描述须与当前实现核对,axi2flit/doc,manual
axi2flit/systemc,directory,,2,35,main-source-tree,转换器、帧编解码、流控和集成模块,SystemC 实现，在整机内使用 gem5 原生 SystemC,axi2flit/systemc,manual
axi2flit/systemc/doc,directory,,3,3,main-source-tree,组件实现与验证说明,文档,axi2flit/systemc/doc,manual
axi2flit/systemc/include,directory,,14,14,main-source-tree,AXI类型、AoU消息、credit、RP顺序、流解码、SimpleMem FIFO契约,公共头文件；修改可能影响请求端和target端,axi2flit/systemc/include,manual
axi2flit/systemc/integration,directory,,4,4,main-source-tree,UcieAouAdapter、AouTarget、SimpleBurstMemory,逻辑Flit↔FDI FIFO；Target↔完整burst FIFO,axi2flit/systemc/integration,manual
axi2flit/systemc/scripts,directory,,1,1,main-source-tree,组件测试运行和分析脚本,开发辅助,axi2flit/systemc/scripts,manual
axi2flit/systemc/src,directory,,3,3,main-source-tree,AXI2Flit、FlitPacker、FlitUnpacker 的实现,五通道事务↔业务消息↔逻辑Flit,axi2flit/systemc/src,manual
axi2flit/systemc/tb,directory,,8,8,main-source-tree,独立模块testbench、激励及scoreboard,组件验证，不等于实际CPU/GPU/NPU执行,axi2flit/systemc/tb,manual
build,directory,,12,487,build-output,系统级 native 库、测试和工作负载产物,构建输出，不维护源实现、不入 Git,build,manual
build/ramulator-config-smoke,directory,,3,3,build-output,配置生成smoke的YAML、memspec、metadata,开发验证输出,build/ramulator-config-smoke,manual
build/ramulator2,directory,,8,471,build-output,CMake/Ninja在线native模型构建目录,配置、对象、库、CTest和依赖产物,build/ramulator2,manual
build/ramulator2/CMakeFiles,directory,,6,21,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,manual
build/ramulator2/CMakeFiles/3.31.8,directory,,5,9,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/3.31.8/CompilerIdC,directory,,2,2,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/3.31.8/CompilerIdC/tmp,directory,,0,0,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/3.31.8/CompilerIdCXX,directory,,2,2,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/3.31.8/CompilerIdCXX/tmp,directory,,0,0,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/pkgRedirects,directory,,4,4,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/ramulator.dir,directory,,0,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/ramulator.dir/integration,directory,,1,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/target_backing_contract.dir,directory,,0,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/target_backing_contract.dir/home,directory,,0,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/target_backing_contract.dir/home/vscode,directory,,0,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/target_backing_contract.dir/home/vscode/full_link_sys,directory,,0,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/target_backing_contract.dir/home/vscode/full_link_sys/full_link_simulation_system,directory,,0,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/target_backing_contract.dir/home/vscode/full_link_sys/full_link_simulation_system/gem5_axi,directory,,0,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/CMakeFiles/target_backing_contract.dir/home/vscode/full_link_sys/full_link_simulation_system/gem5_axi/tests,directory,,1,1,build-output,CMake/Ninja生成信息与对象,构建产物,build/ramulator2/CMakeFiles,inherited-from-ancestor
build/ramulator2/DRAMPower,directory,,1,43,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,manual
build/ramulator2/DRAMPower/CMakeFiles,directory,,0,0,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src,directory,,0,42,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower,directory,,2,42,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles,directory,,0,40,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir,directory,,0,40,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower,directory,,0,40,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/command,directory,,2,2,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/data,directory,,1,1,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/dram,directory,,3,3,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/factory,directory,,1,1,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/memspec,directory,,5,5,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/standards,directory,,0,27,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/standards/hbm2,directory,,7,7,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/standards/hbm34,directory,,3,3,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/standards/lpddr4,directory,,5,5,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/standards/lpddr5,directory,,5,5,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/standards/lpddr6,directory,,7,7,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/DRAMPower/src/DRAMPower/CMakeFiles/DRAMPower.dir/DRAMPower/util,directory,,1,1,build-output,功耗库子构建,构建产物,build/ramulator2/DRAMPower,inherited-from-ancestor
build/ramulator2/Testing,directory,,0,2,build-output,CTest执行日志,测试输出,build/ramulator2/Testing,manual
build/ramulator2/Testing/Temporary,directory,,2,2,build-output,CTest执行日志,测试输出,build/ramulator2/Testing,inherited-from-ancestor
build/ramulator2/_deps,directory,,0,265,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,manual
build/ramulator2/_deps/dramutils-build,directory,,1,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-build/CMakeFiles,directory,,0,0,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src,directory,,10,40,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/.github,directory,,0,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/.github/workflows,directory,,1,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/cmake,directory,,5,5,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/include,directory,,0,21,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/include/DRAMUtils,directory,,0,21,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/include/DRAMUtils/config,directory,,1,1,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
build/ramulator2/_deps/dramutils-src/include/DRAMUtils/memspec,directory,,1,15,build-output,FetchContent依赖子构建和生成信息,构建产物，实际源码可来自用户锁定缓存,build/ramulator2/_deps,inherited-from-ancestor
