path,module,kind,status,lines,bytes,role_hint,symbols,dependencies,extraction_capped,blob
.gitignore,(root),config,indexed,41,646,仓库约定、导航或Git管理配置,,,False,66933576bae95f97cf0a1127fbda9b066d273db9
.gitmodules,(root),config,indexed,3,96,仓库约定、导航或Git管理配置,,,False,57b62d9e1eb88f8861b6b4ade854ee1ce4334c1c
AGENTS.md,(root),documentation,indexed,29,2692,仓库约定、导航或Git管理配置,,,False,e47143034bf32a36fa958ae084df63d21087bac9
README.md,(root),documentation,indexed,55,3318,仓库约定、导航或Git管理配置,,,False,de0c0f8109a8e266ac5f524b2fb8349bf19b5fc2
axi2flit/.gitignore,axi2flit,config,indexed,54,1264,AW/W路由、请求队列与B/R输出,,,False,037d8bad6ca1603296ff133bd67ef3b578692f80
axi2flit/Makefile,axi2flit,build,indexed,5,560,AW/W路由、请求队列与B/R输出,,,False,30761bf7957e6264a201894ca84ba546d1aa733e
axi2flit/README.md,axi2flit,documentation,indexed,82,5196,AW/W路由、请求队列与B/R输出,,,False,a267c1c25229fe9a01d0a6d3e698b22c3480a442
axi2flit/doc/AXI2FLIT技术路线与设计Spec.md,axi2flit,documentation,indexed,41,3556,AW/W路由、请求队列与B/R输出,,,False,d52d3aa07df925a0c320ff001761aef6e8d3845d
axi2flit/doc/SoC侧接口对接表.md,axi2flit,documentation,indexed,127,9852,AW/W路由、请求队列与B/R输出,,,False,47964ff01ef8fa9672f3306c2d127a87f4678ce4
axi2flit/doc/UCIe全链路仿真计划与使用.md,axi2flit,documentation,indexed,210,13784,AW/W路由、请求队列与B/R输出,,,False,849cd33c3d76bf1562f7e8054adb4327dc400a60
axi2flit/doc/全链路联合仿真接入指南.md,axi2flit,documentation,indexed,466,48635,AW/W路由、请求队列与B/R输出,,,False,e9b5528aba06c75da9e115e35cb21bb5419e2491
axi2flit/doc/存储侧接口对接表.md,axi2flit,documentation,indexed,183,18064,AW/W路由、请求队列与B/R输出,,,False,05577721cc44cfba839485a100302b50eb708288
axi2flit/systemc/.gitignore,axi2flit,config,indexed,5,110,AW/W路由、请求队列与B/R输出,,,False,560343c18f0ee2ccde914e4d870c4910433d45b2
axi2flit/systemc/Makefile,axi2flit,build,indexed,222,9161,AW/W路由、请求队列与B/R输出,,,False,30fda5688551e0e1fa997c191faaae12faa81dc5
axi2flit/systemc/doc/design.md,axi2flit,documentation,indexed,135,12271,AW/W路由、请求队列与B/R输出,,,False,683fd160fd5ea30a2ffcecce9d0a5b8a81cb9b24
axi2flit/systemc/doc/verification.md,axi2flit,documentation,indexed,157,12599,AW/W路由、请求队列与B/R输出,,,False,f6fab096bffc44809ec08cf3cbe7e813f4d1e923
axi2flit/systemc/doc/wire_contract.md,axi2flit,documentation,indexed,149,9040,AW/W路由、请求队列与B/R输出,,,False,f1c83647acf6b3271ae85d24df6b4cf7183fac34
axi2flit/systemc/include/aou_stream_decoder.h,axi2flit,source,indexed,73,2649,AW/W路由、请求队列与B/R输出,AouStreamDecoder@9 (class/type) | Result@12 (class/type) | reset@16 (C/C++ function candidate) | carry_active@18 (C/C++ function candidate) | consume@19 (C/C++ function candidate) | parse@30 (C/C++ function candidate),aou_types.h | stdexcept | vector,False,4955509866c8ce66b232c69f58ef11f282428794
axi2flit/systemc/include/aou_types.h,axi2flit,source,indexed,489,21256,AW/W路由、请求队列与B/R输出,MsgType@65 (class/type) | msgtype_to_str@78 (C/C++ function candidate) | DataLength@98 (class/type) | dlength_to_bytes@105 (C/C++ function candidate) | wdata_granules@123 (C/C++ function candidate) | wdatafull_granules@133 (C/C++ function candidate) | rdata_granules@141 (C/C++ function candidate) | msg_type_of@150 (C/C++ function candidate) | msg_rp_of@152 (C/C++ function candidate) | msg_dlength_of@153 (C/C++ function candidate) | misc_op_of@154 (C/C++ function candidate) | message_granules_from_header@157 (C/C++ function candidate) | message_wire_bytes@201 (C/C++ function candidate) | messages_in_flight@207 (C/C++ function candidate) | BitWriter@245 (class/type) | BitWriter@247 (C/C++ function candidate) | put@251 (C/C++ function candidate) | skip@258 (C/C++ function candidate) | put_bytes@261 (C/C++ function candidate) | put_bytes_msb_first@268 (C/C++ function candidate) | bits@274 (C/C++ function candidate) | bytes@276 (C/C++ function candidate) | BitReader@282 (class/type) | BitReader@284 (C/C++ function candidate) | get@286 (C/C++ function candidate) | skip@295 (C/C++ function candidate) | get_bytes@296 (C/C++ function candidate) | get_bytes_msb_first@304 (C/C++ function candidate) | bits@310 (C/C++ function candidate) | AouMessage@326 (class/type) | sc_trace@357 (C/C++ function candidate) | AouFlit@368 (class/type) | pack_fragment@396 (C/C++ function candidate) | pack_message@418 (C/C++ function candidate) | remaining_granules@427 (C/C++ function candidate) | clear@432 (C/C++ function candidate) | FlitTransfer@445 (class/type) | FlitTransfer@450 (C/C++ function candidate) | sc_trace@482 (C/C++ function candidate),systemc.h | array | algorithm | cstdint | cstring | string | link_config.h,False,e0d1e51b2da20eaf007b80bf1bb86a1a40ddf14c
axi2flit/systemc/include/aou_wire.h,axi2flit,source,indexed,46,1936,AW/W路由、请求队列与B/R输出,serialize_aou@11 (C/C++ function candidate) | deserialize_aou@29 (C/C++ function candidate),aou_types.h | stdexcept,False,20c49b38930d1aae6c41ee7868cff095bcfa8614
axi2flit/systemc/include/axi2flit.h,axi2flit,source,indexed,103,3464,AW/W路由、请求队列与B/R输出,WriteRoute@20 (class/type) | rp_count@62 (C/C++ function candidate) | order_violations@70 (C/C++ function candidate),axi_if.h | aou_types.h | msg_builder.h | msg_decoder.h | flit_packer.h | flit_unpacker.h | credit_manager.h | rp_order_guard.h | axi_contract.h,False,8740d3c75db92ebc14d9e62b5bb2c4dde254b477
axi2flit/systemc/include/axi_contract.h,axi2flit,source,indexed,19,758,AW/W路由、请求队列与B/R输出,axi_request_error@6 (C/C++ function candidate) | axi_wlast_matches@16 (C/C++ function candidate),axi_if.h,False,2e83f734a462e8ecb48fe2f57ef566a5179273df
axi2flit/systemc/include/axi_if.h,axi2flit,source,indexed,192,8739,AW/W路由、请求队列与B/R输出,AxChannel@42 (class/type) | WChannel@63 (class/type) | BChannel@76 (class/type) | RChannel@88 (class/type) | Axi4Beat@102 (class/type) | Ch@104 (class/type) | sc_trace@168 (C/C++ function candidate) | sc_trace@175 (C/C++ function candidate) | sc_trace@180 (C/C++ function candidate) | sc_trace@186 (C/C++ function candidate),systemc.h | cstdint | cstring | string,False,643545cd0afead0381267750f04286729521d008
axi2flit/systemc/include/credit_manager.h,axi2flit,source,indexed,312,12691,AW/W路由、请求队列与B/R输出,CreditKind@11 (class/type) | msgtype_to_credit_kind@23 (C/C++ function candidate) | credit_kind_to_str@35 (C/C++ function candidate) | CreditUpdate@48 (class/type) | credit_kind_index@65 (C/C++ function candidate) | decode_credit_encoding@69 (C/C++ function candidate) | encode_credit_amount@77 (C/C++ function candidate) | CreditManager@91 (class/type) | rp_count_@97 (C/C++ function candidate) | CreditManager@109 (C/C++ function candidate) | reset@112 (C/C++ function candidate) | publish_initial_capacity@120 (C/C++ function candidate) | rp_count@123 (C/C++ function candidate) | add_tx_credit@125 (C/C++ function candidate) | can_consume@131 (C/C++ function candidate) | consume@137 (C/C++ function candidate) | return_rx_credit@145 (C/C++ function candidate) | has_pending_returns@154 (C/C++ function candidate) | initial_capacity@161 (C/C++ function candidate) | take_header_grant@166 (C/C++ function candidate) | take_misc_grants@187 (C/C++ function candidate) | clear_matrix@206 (C/C++ function candidate) | make_capacity@210 (C/C++ function candidate) | valid@222 (C/C++ function candidate) | take_encoded@227 (C/C++ function candidate) | build_crdt_grant_message@237 (C/C++ function candidate) | decode_crdt_grant_message@267 (C/C++ function candidate) | decode_header_credits@296 (C/C++ function candidate),aou_types.h | array | cassert | cstdint | ostream,False,ead11cdf17654ffe8019d638dbce13d249a43a1e
axi2flit/systemc/include/flit_packer.h,axi2flit,source,indexed,97,4061,按RP credit封包、跨帧spill与flush,flits_sent@49 (C/C++ function candidate) | granules_sent@50 (C/C++ function candidate) | Candidate@53 (class/type),aou_types.h | credit_manager.h | array | optional,False,e8109ccb8c08be1c27f5e1fd40d450c1439303d7
axi2flit/systemc/include/flit_unpacker.h,axi2flit,source,indexed,56,1926,完整帧校验、流式解码与响应反压,flits_received@31 (C/C++ function candidate) | granules_received@32 (C/C++ function candidate),aou_types.h | credit_manager.h | aou_stream_decoder.h | vector,False,a6df6804d83ca9478e6965abcd477c3d08434357
axi2flit/systemc/include/link_config.h,axi2flit,source,indexed,30,1200,AW/W路由、请求队列与B/R输出,,,False,484257c266a05dcd5973e7a8e96dfe3ce314bd53
axi2flit/systemc/include/msg_builder.h,axi2flit,source,indexed,160,5750,AXI通道字段到AoU消息位域编码,MsgBuilder@16 (class/type) | build_write_req@18 (C/C++ function candidate) | build_read_req@23 (C/C++ function candidate) | build_write_data@27 (C/C++ function candidate) | build_write_data_full@49 (C/C++ function candidate) | build_read_data@66 (C/C++ function candidate) | build_write_resp@88 (C/C++ function candidate) | is_full_strobe@111 (C/C++ function candidate) | pack_strobe@121 (C/C++ function candidate) | unpack_strobe@127 (C/C++ function candidate) | build_req@131 (C/C++ function candidate),aou_types.h | axi_if.h,False,745951f7e43724333571c3aafcaf696b69d05084
